10.1091/mbc.e17-12-0716	Crossref	journal-article	2018-06-06	Sync	2024-06-07 10:04:00		
10.1091/mbc.e19-03-0146	Crossref	journal-article	2019-10-15	Sync	2024-06-07 10:04:00		
10.1101/003541	Crossref	posted-content preprint	2014-03-24	Sync	2024-06-07 10:04:00		
10.1101/008938	Crossref	posted-content preprint	2014-09-09	Sync	2024-06-07 10:04:00		
10.1101/020917	Crossref	posted-content preprint	2015-06-16	Sync	2024-06-07 10:04:00		
10.1101/023770	Crossref	posted-content preprint	2015-08-11	Sync	2024-06-07 10:04:00		
10.1101/026617	Crossref	posted-content preprint	2015-09-10	Sync	2024-06-07 10:04:00		
10.1101/037721	Crossref	posted-content preprint	2016-01-22	Sync	2024-06-07 10:04:00		
10.1101/040642	Crossref	posted-content preprint	2016-03-22	Sync	2024-06-07 10:04:00		
10.1101/041780	Crossref	posted-content preprint	2016-02-29	Sync	2024-06-07 10:04:00		
10.1101/044990	Crossref	posted-content preprint	2016-03-21	Sync	2024-06-07 10:04:00		
10.1101/046417	Crossref	posted-content preprint	2016-03-31	Sync	2024-06-07 10:04:00		
10.1101/055947	Crossref	posted-content preprint	2016-05-30	Sync	2024-06-07 10:04:00		
10.1101/057364	Crossref	posted-content preprint	2016-06-07	Sync	2024-06-07 10:04:00		
10.1101/058495	Crossref	posted-content preprint	2016-06-12	Sync	2024-06-07 10:04:00		
10.1101/065789	Crossref	posted-content preprint	2016-07-25	Sync	2024-06-07 10:04:00		
10.1101/066779	Crossref	posted-content preprint	2016-08-04	Sync	2024-06-07 10:04:00		
10.1101/073866	Crossref	posted-content preprint	2017-02-16	Sync	2024-06-07 10:04:00		
10.1101/087726	Crossref	posted-content preprint	2016-11-14	Sync	2024-06-07 10:04:00		
10.1101/088278	Crossref	posted-content preprint	2016-11-28	Sync	2024-06-07 10:04:00		
10.1101/091132	Crossref	posted-content preprint	2016-12-02	Sync	2024-06-07 10:04:00		
10.1101/091256	Crossref	posted-content preprint	2016-12-02	Sync	2024-06-07 10:04:00		
10.1101/096388	Crossref	posted-content preprint	2016-12-22	Sync	2024-06-07 10:04:00		
10.1101/096644	Crossref	posted-content preprint	2016-12-23	Sync	2024-06-07 10:04:00		
10.1101/101311	Crossref	posted-content preprint	2017-01-18	Sync	2024-06-07 10:04:00		
10.1101/108514	Crossref	posted-content preprint	2017-02-14	Sync	2024-06-07 10:04:00		
10.1101/111674	Crossref	posted-content preprint	2017-08-10	Sync	2024-06-07 10:04:00		
10.1101/112623	Crossref	posted-content preprint	2017-02-28	Sync	2024-06-07 10:04:00		
10.1101/118505	Crossref	posted-content preprint	2017-03-25	Sync	2024-06-07 10:04:00		
10.1101/120444	Crossref	posted-content preprint	2017-03-24	Sync	2024-06-07 10:04:00		
10.1101/121863	Crossref	posted-content preprint	2017-03-29	Sync	2024-06-07 10:04:00		
10.1101/124107	Crossref	posted-content preprint	2017-04-04	Sync	2024-06-07 10:04:00		
10.1101/127613	Crossref	posted-content preprint	2017-04-14	Sync	2024-06-07 10:04:00		
10.1101/128280	Crossref	posted-content preprint	2017-04-18	Sync	2024-06-07 10:04:00		
10.1101/133686	Crossref	posted-content preprint	2017-05-05	Sync	2024-06-07 10:04:00		
10.1101/134882	Crossref	posted-content preprint	2017-05-07	Sync	2024-06-07 10:04:00		
10.1101/135848	Crossref	posted-content preprint	2017-05-12	Sync	2024-06-07 10:04:00		
10.1101/136655	Crossref	posted-content preprint	2017-05-10	Sync	2024-06-07 10:04:00		
10.1101/137836	Crossref	posted-content preprint	2017-05-14	Sync	2024-06-07 10:04:00		
10.1101/139956	Crossref	posted-content preprint	2017-05-19	Sync	2024-06-07 10:04:00		
10.1101/140038	Crossref	posted-content preprint	2017-05-19	Sync	2024-06-07 10:04:00		
10.1101/140483	Crossref	posted-content preprint	2017-05-20	Sync	2024-06-07 10:04:00		
10.1101/140905	Crossref	posted-content preprint	2017-05-22	Sync	2024-06-07 10:04:00		
10.1101/141762	Crossref	posted-content preprint	2017-05-24	Sync	2024-06-07 10:04:00		
10.1101/142760	Crossref	posted-content preprint	2017-05-28	Sync	2024-06-07 10:04:01		
10.1101/143727	Crossref	posted-content preprint	2017-05-30	Sync	2024-06-07 10:04:01		
10.1101/143826	Crossref	posted-content preprint	2017-05-30	Sync	2024-06-07 10:04:01		
10.1101/162909	Crossref	posted-content preprint	2017-07-13	Sync	2024-06-07 10:04:01		
10.1101/163295	Crossref	posted-content preprint	2017-07-13	Sync	2024-06-07 10:04:01		
10.1101/168468	Crossref	posted-content preprint	2017-07-26	Sync	2024-06-07 10:04:01		
10.1101/171983	Crossref	posted-content preprint	2017-08-03	Sync	2024-06-07 10:04:01		
10.1101/177337	Crossref	posted-content preprint	2017-08-16	Sync	2024-06-07 10:04:01		
10.1101/177956	Crossref	posted-content preprint	2017-08-18	Sync	2024-06-07 10:04:01		
10.1101/186502	Crossref	posted-content preprint	2017-09-10	Sync	2024-06-07 10:04:01		
10.1101/189506	Crossref	posted-content preprint	2017-09-15	Sync	2024-06-07 10:04:01		
10.1101/19007575	Crossref	posted-content preprint	2019-09-25	Sync	2024-06-07 10:04:01		
10.1101/199240	Crossref	posted-content preprint	2017-10-10	Sync	2024-06-07 10:04:01		
10.1101/2019.12.11.872994	Crossref	posted-content preprint	2019-12-12	Sync	2024-06-07 10:04:01		
10.1101/2019.12.14.876425	Crossref	posted-content preprint	2019-12-15	Sync	2024-06-07 10:04:01		
10.1101/2019.12.24.887679	Crossref	posted-content preprint	2019-12-24	Sync	2024-06-07 10:04:01		
10.1101/2020.01.02.892323	Crossref	posted-content preprint	2020-01-03	Sync	2024-06-07 10:04:01		
10.1101/2020.01.19.911453	Crossref	posted-content preprint	2020-01-20	Sync	2024-06-07 10:04:01		
10.1101/2020.01.20.912709	Crossref	posted-content preprint	2020-01-21	Sync	2024-06-07 10:04:01		
10.1101/2020.01.26.920256	Crossref	posted-content preprint	2020-01-27	Sync	2024-06-07 10:04:01		
10.1101/2020.02.04.934182	Crossref	posted-content preprint	2020-02-05	Sync	2024-06-07 10:04:01		
10.1101/2020.02.05.935106	Crossref	posted-content preprint	2020-02-06	Sync	2024-06-07 10:04:01		
10.1101/2020.02.05.936120	Crossref	posted-content preprint	2020-02-06	Sync	2024-06-07 10:04:01		
10.1101/2020.02.08.939918	Crossref	posted-content preprint	2020-02-10	Sync	2024-06-07 10:04:01		
10.1101/2020.02.13.947119	Crossref	posted-content preprint	2020-02-13	Sync	2024-06-07 10:04:01		
10.1101/2020.02.24.963660	Crossref	posted-content preprint	2020-02-25	Sync	2024-06-07 10:04:01		
10.1101/2020.03.02.973941	Crossref	posted-content preprint	2020-03-02	Sync	2024-06-07 10:04:01		
10.1101/2020.03.06.979583	Crossref	posted-content preprint	2020-03-07	Sync	2024-06-07 10:04:01		
10.1101/2020.03.25.008664	Crossref	posted-content preprint	2020-03-25	Sync	2024-06-07 10:04:01		
10.1101/2020.03.27.011361	Crossref	posted-content preprint	2020-03-27	Sync	2024-06-07 10:04:01		
10.1101/2020.04.08.032433	Crossref	posted-content preprint	2020-04-09	Sync	2024-06-07 10:04:01		
10.1101/2020.04.16.045674	Crossref	posted-content preprint	2020-04-18	Sync	2024-06-07 10:04:01		
10.1101/2020.04.17.047167	Crossref	posted-content preprint	2020-04-18	Sync	2024-06-07 10:04:01		
10.1101/2020.04.21.053124	Crossref	posted-content preprint	2020-04-22	Sync	2024-06-07 10:04:01		
10.1101/2020.04.23.058339	Crossref	posted-content preprint	2020-04-24	Sync	2024-06-07 10:04:01		
10.1101/2020.05.10.079236	Crossref	posted-content preprint	2020-05-10	Sync	2024-06-07 10:04:01		
10.1101/2020.05.12.091553	Crossref	posted-content preprint	2020-05-14	Sync	2024-06-07 10:04:01		
10.1101/2020.05.23.098822	Crossref	posted-content preprint	2020-05-25	Sync	2024-06-07 10:04:01		
10.1101/2020.06.04.132811	Crossref	posted-content preprint	2020-06-05	Sync	2024-06-07 10:04:01		
10.1101/2020.06.08.140228	Crossref	posted-content preprint	2020-06-09	Sync	2024-06-07 10:04:01		
10.1101/2020.06.28.176735	Crossref	posted-content preprint	2020-06-29	Sync	2024-06-07 10:04:01		
10.1101/2020.06.30.179648	Crossref	posted-content preprint	2020-07-01	Sync	2024-06-07 10:04:01		
10.1101/2020.07.02.184390	Crossref	posted-content preprint	2020-07-02	Sync	2024-06-07 10:04:01		
10.1101/2020.07.09.196428	Crossref	posted-content preprint	2020-07-10	Sync	2024-06-07 10:04:01		
10.1101/2020.07.10.197517	Crossref	posted-content preprint	2020-07-11	Sync	2024-06-07 10:04:01		
10.1101/2020.07.13.179325	Crossref	posted-content preprint	2020-07-14	Sync	2024-06-07 10:04:01		
10.1101/2020.07.17.209361	Crossref	posted-content preprint	2020-07-17	Sync	2024-06-07 10:04:01		
10.1101/2020.07.18.210260	Crossref	posted-content preprint	2020-07-19	Sync	2024-06-07 10:04:01		
10.1101/2020.08.16.252809	Crossref	posted-content preprint	2020-08-16	Sync	2024-06-07 10:04:01		
10.1101/2020.08.20.259135	Crossref	posted-content preprint	2020-08-21	Sync	2024-06-07 10:04:02		
10.1101/2020.08.28.272807	Crossref	posted-content preprint	2020-08-30	Sync	2024-06-07 10:04:02		
10.1101/2020.09.04.283572	Crossref	posted-content preprint	2020-09-04	Sync	2024-06-07 10:04:02		
10.1101/2020.09.10.291286	Crossref	posted-content preprint	2020-09-11	Sync	2024-06-07 10:04:02		
10.1101/2020.09.11.292888	Crossref	posted-content preprint	2020-09-11	Sync	2024-06-07 10:04:02		
10.1101/2020.09.15.297051	Crossref	posted-content preprint	2020-09-16	Sync	2024-06-07 10:04:02		
10.1101/2020.09.17.302117	Crossref	posted-content preprint	2020-09-17	Sync	2024-06-07 10:04:02		
10.1101/2020.09.22.309021	Crossref	posted-content preprint	2020-09-23	Sync	2024-06-07 10:04:02		
10.1101/2020.09.24.312397	Crossref	posted-content preprint	2020-09-25	Sync	2024-06-07 10:04:02		
10.1101/2020.09.25.308080	Crossref	posted-content preprint	2020-09-25	Sync	2024-06-07 10:04:02		
10.1101/2020.09.25.313528	Crossref	posted-content preprint	2020-09-25	Sync	2024-06-07 10:04:02		
10.1101/2020.10.20.345306	Crossref	posted-content preprint	2020-10-21	Sync	2024-06-07 10:04:02		
10.1101/2020.10.22.350306	Crossref	posted-content preprint	2020-10-22	Sync	2024-06-07 10:04:02		
10.1101/2020.10.26.20218842	Crossref	posted-content preprint	2020-10-27	Sync	2024-06-07 10:04:02		
10.1101/2020.10.26.355164	Crossref	posted-content preprint	2020-10-26	Sync	2024-06-07 10:04:02		
10.1101/2020.10.27.358291	Crossref	posted-content preprint	2020-10-28	Sync	2024-06-07 10:04:02		
10.1101/2020.11.11.378968	Crossref	posted-content preprint	2020-11-12	Sync	2024-06-07 10:04:02		
10.1101/2020.11.19.390278	Crossref	posted-content preprint	2020-11-20	Sync	2024-06-07 10:04:02		
10.1101/2020.11.30.405571	Crossref	posted-content preprint	2020-12-02	Sync	2024-06-07 10:04:02		
10.1101/2020.12.15.401257	Crossref	posted-content preprint	2020-12-15	Sync	2024-06-07 10:04:02		
10.1101/2020.12.16.423127	Crossref	posted-content preprint	2020-12-16	Sync	2024-06-07 10:04:02		
10.1101/2020.12.30.424853	Crossref	posted-content preprint	2020-12-30	Sync	2024-06-07 10:04:02		
10.1101/2021.01.07.425323	Crossref	posted-content preprint	2021-01-07	Sync	2024-06-07 10:04:02		
10.1101/2021.01.29.428635	Crossref	posted-content preprint	2021-01-31	Sync	2024-06-07 10:04:02		
10.1101/2021.02.01.428994	Crossref	posted-content preprint	2021-02-01	Sync	2024-06-07 10:04:02		
10.1101/2021.02.25.432776	Crossref	posted-content preprint	2021-02-25	Sync	2024-06-07 10:04:02		
10.1101/2021.03.05.434048	Crossref	posted-content preprint	2021-03-06	Sync	2024-06-07 10:04:02		
10.1101/2021.03.08.434356	Crossref	posted-content preprint	2021-03-08	Sync	2024-06-07 10:04:02		
10.1101/2021.03.10.434865	Crossref	posted-content preprint	2021-03-11	Sync	2024-06-07 10:04:02		
10.1101/2021.03.13.435173	Crossref	posted-content preprint	2021-03-15	Sync	2024-06-07 10:04:02		
10.1101/2021.03.18.436011	Crossref	posted-content preprint	2021-03-18	Sync	2024-06-07 10:04:02		
10.1101/2021.04.11.438056	Crossref	posted-content preprint	2021-04-12	Sync	2024-06-07 10:04:02		
10.1101/2021.04.20.440648	Crossref	posted-content preprint	2021-04-21	Sync	2024-06-07 10:04:02		
10.1101/2021.04.21.440742	Crossref	posted-content preprint	2021-04-21	Sync	2024-06-07 10:04:02		
